id,username,password,email,email_verified,nickname,role,credit_score,bio,avatar,status,create_time
1,testuser_0001,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0001@greenloop.test,1,测试用户1,USER,86,这是测试用户1的个人简介,/uploads/avatar/default_4.png,1,2026-07-24 23:25:42
2,testuser_0002,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0002@greenloop.test,1,测试用户2,USER,78,这是测试用户2的个人简介,/uploads/avatar/default_1.png,1,2026-08-09 09:10:42
3,testuser_0003,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0003@greenloop.test,1,测试用户3,USER,78,这是测试用户3的个人简介,/uploads/avatar/default_4.png,1,2026-08-13 21:41:42
4,testuser_0004,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0004@greenloop.test,1,测试用户4,USER,76,这是测试用户4的个人简介,/uploads/avatar/default_5.png,1,2026-07-26 12:28:42
5,testuser_0005,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0005@greenloop.test,1,测试用户5,USER,67,这是测试用户5的个人简介,/uploads/avatar/default_5.png,1,2026-08-08 22:46:42
6,testuser_0006,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0006@greenloop.test,1,测试用户6,USER,77,这是测试用户6的个人简介,/uploads/avatar/default_2.png,1,2026-08-14 17:45:42
7,testuser_0007,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0007@greenloop.test,1,测试用户7,USER,79,这是测试用户7的个人简介,/uploads/avatar/default_5.png,1,2026-07-23 23:57:42
8,testuser_0008,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0008@greenloop.test,1,测试用户8,USER,78,这是测试用户8的个人简介,/uploads/avatar/default_4.png,1,2026-08-13 04:11:42
9,testuser_0009,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0009@greenloop.test,1,测试用户9,USER,79,这是测试用户9的个人简介,/uploads/avatar/default_4.png,1,2026-08-08 02:21:42
10,testuser_0010,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0010@greenloop.test,1,测试用户10,USER,91,这是测试用户10的个人简介,/uploads/avatar/default_4.png,1,2026-08-13 23:53:42
11,testuser_0011,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0011@greenloop.test,1,测试用户11,USER,87,这是测试用户11的个人简介,/uploads/avatar/default_3.png,1,2026-07-28 10:54:42
12,testuser_0012,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0012@greenloop.test,1,测试用户12,USER,65,这是测试用户12的个人简介,/uploads/avatar/default_2.png,1,2026-07-26 00:18:42
13,testuser_0013,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0013@greenloop.test,1,测试用户13,USER,61,这是测试用户13的个人简介,/uploads/avatar/default_3.png,1,2026-07-29 17:07:42
14,testuser_0014,$2a$10$N.zmdr9k7uOCQb376NoUnuTJ8iAt6Z5EHsM8lE9lBOsl7iAt6Z5EO,testuser_0014@greenloop.test,1,测试用户14,USER,71,这是测试用户14的个人简介,/uploads/avatar/default_4.png,1,2026-07-30 22:27:42
